"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1022","verifyAvaibilityOfFieldsInLoginScreen","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.LoginPageTest","Test","com.focus.testcases.LoginPageTest","verifyAvaibilityOfFieldsInLoginScreen"
"","3214","verifyLoginScreenTitleByInputUrl","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.URLBrowserTest","Test","com.focus.testcases.URLBrowserTest","verifyLoginScreenTitleByInputUrl"
"","21","verifyBrowserOpen","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.URLBrowserTest","Test","com.focus.testcases.URLBrowserTest","verifyBrowserOpen"
"","166875","checkRestoreAutomationCompany","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.LoginPageTest","Test","com.focus.testcases.LoginPageTest","checkRestoreAutomationCompany"
"","30252","verifySignIn","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.LoginPageTest","Test","com.focus.testcases.LoginPageTest","verifySignIn"
"","77","verifyCompanyNameInCompanyListOfLoginScreen","Suite","2026-05-26","passed","2026-05-26","com.focus.testcases.LoginPageTest","Test","com.focus.testcases.LoginPageTest","verifyCompanyNameInCompanyListOfLoginScreen"
